OBJECTID,org_name,Name,addrln1,addrln2,city,state,url,zip,link,latitude,longitude
60727,www.lapl.org,Los Angeles Public Library - Chinatown Branch,639 N. Hill St.,,Los Angeles,CA,www.lapl.org,90012,http://egis3.lacounty.gov/lms/?p=61398,34.059743,-118.241026
60729,www.lapl.org,Los Angeles Public Library - Granada Hills,10640 Petit Ave.,,Granada  Hills,CA,www.lapl.org,91344,http://egis3.lacounty.gov/lms/?p=61399,34.264371,-118.497771
60731,www.lapl.org,Los Angeles Public Library - Benjamin Franklin Branch,2200 E. 1st St.,,Los Angeles,CA,www.lapl.org,90033,http://egis3.lacounty.gov/lms/?p=61400,34.044224,-118.212412
60733,www.lapl.org,Los Angeles Public Library - Chatsworth Branch,21052 Devonshire St.,,Chatsworth,CA,www.lapl.org,91311,http://egis3.lacounty.gov/lms/?p=61401,34.257079,-118.592543
60735,www.lapl.org,Los Angeles Public Library - Canoga Park Branch,20939 Sherman Way,,Canoga Park,CA,www.lapl.org,91303,http://egis3.lacounty.gov/lms/?p=61402,34.201244,-118.589722
60737,www.lapl.org,Los Angeles Public Library - Echo Park Branch,1410 W. Temple St.,,Los Angeles,CA,www.lapl.org,90026,http://egis3.lacounty.gov/lms/?p=61403,34.067228,-118.257077
60739,www.lapl.org,Los Angeles Public Library - Little Tokyo Branch,203 S. Los Angeles St.,,Los Angeles,CA,www.lapl.org,90012,http://egis3.lacounty.gov/lms/?p=61404,34.050207,-118.243655
60741,www.lapl.org,Los Angeles Public Library - Eagle Rock Branch,5027 Caspar Ave.,,Los Angeles,CA,www.lapl.org,90041,http://egis3.lacounty.gov/lms/?p=61405,34.137664,-118.213301
60743,www.lapl.org,Los Angeles Public Library - Malabar Branch,2801 Wabash Ave.,,Los Angeles,CA,www.lapl.org,90033,http://egis3.lacounty.gov/lms/?p=61406,34.050589,-118.197849
60745,www.lapl.org,Los Angeles Public Library - Los Feliz Branch,1874 Hillhurst Ave.,,Los Angeles,CA,www.lapl.org,90027,http://egis3.lacounty.gov/lms/?p=61407,34.105252,-118.287233
60747,www.lapl.org,Los Angeles Public Library - Sylmar Branch,14561 Polk St.,,Sylmar,CA,www.lapl.org,91342,http://egis3.lacounty.gov/lms/?p=61408,34.307356,-118.450344
60749,www.lapl.org,Los Angeles Public Library - Pacoima Branch,13605 Van Nuys Blvd.,,Pacoima,CA,www.lapl.org,91331,http://egis3.lacounty.gov/lms/?p=61409,34.261205,-118.429178
60751,www.lapl.org,Los Angeles Public Library - Frances Howard Goldwyn Hollywood Regional Branch,1623 N Ivar Ave,,Hollywood,CA,www.lapl.org,90028,http://egis3.lacounty.gov/lms/?p=61410,34.10043866,-118.3282967
60753,www.lapl.org,Los Angeles Public Library - Mar Vista Branch,12006 Venice Blvd.,,Los Angeles,CA,www.lapl.org,90066,http://egis3.lacounty.gov/lms/?p=61411,34.00591,-118.428974
60755,www.lapl.org,Los Angeles Public Library - Baldwin Hills Branch,2906 S. La Brea Ave.,,Los Angeles,CA,www.lapl.org,90016,http://egis3.lacounty.gov/lms/?p=61412,34.028492,-118.352534
60757,www.lapl.org,Los Angeles Public Library - Exposition Park Branch,3900 S. Western Ave.,,Los Angeles,CA,www.lapl.org,90062,http://egis3.lacounty.gov/lms/?p=61413,34.014461,-118.308716
60759,www.lapl.org,Los Angeles Public Library Library - Fairfax Branch,161 S. Gardner St.,,Los Angeles,CA,www.lapl.org,90036,http://egis3.lacounty.gov/lms/?p=61414,34.071702,-118.353328
60761,www.lapl.org,Los Angeles Public Library - El Sereno Branch,5226 Huntington Dr S,,Los Angeles,CA,www.lapl.org,90032,http://egis3.lacounty.gov/lms/?p=61415,34.08938826,-118.1682897
60763,www.lapl.org,Los Angeles Public Library - Westchester-Loyola Village Branch,7114 W. Manchester Ave.,,Los Angeles,CA,www.lapl.org,90045,http://egis3.lacounty.gov/lms/?p=61416,33.959599,-118.417262
60765,www.lapl.org,Los Angeles Public Library - North Hollywood - Amelia M. Earhart Regional Branch,5211 Tujunga Ave.,,North Hollywood,CA,www.lapl.org,91601,http://egis3.lacounty.gov/lms/?p=61417,34.16526,-118.379213
60767,www.lapl.org,Los Angeles Public Library - Ascot Branch,120 W. Florence,,Los Angeles,CA,www.lapl.org,90003,http://egis3.lacounty.gov/lms/?p=61418,33.97456,-118.274473
60769,www.lapl.org,Los Angeles Public Library - Sunland-Tujunga Branch,7771 Foothill Blvd.,,Tujunga,CA,www.lapl.org,91042,http://egis3.lacounty.gov/lms/?p=61419,34.257949,-118.301239
60771,www.lapl.org,Los Angeles Public Library - Memorial Branch,4625 W. Olympic Blvd.,,Los Angeles,CA,www.lapl.org,90019,http://egis3.lacounty.gov/lms/?p=61420,34.056584,-118.331861
60773,www.lapl.org,Los Angeles Public Library - Biblioteca Del Pueblo De Lincoln Heights,2530 Workman St.,,Los Angeles,CA,www.lapl.org,90031,http://egis3.lacounty.gov/lms/?p=61421,34.076252,-118.21428
60775,www.lapl.org,Los Angeles Public Library - Will And Ariel Durant Branch,7140 W. Sunset Blvd.,,Los Angeles,CA,www.lapl.org,90046,http://egis3.lacounty.gov/lms/?p=61422,34.0978,-118.345333
60777,www.lapl.org,Los Angeles Public Library - Palms-Rancho Park Branch,2920 Overland Ave,,Los Angeles,CA,www.lapl.org,90064,http://egis3.lacounty.gov/lms/?p=61423,34.03348708,-118.4181612
60779,www.lapl.org,Los Angeles Public Library - Encino-Tarzana Branch,18231 Ventura Blvd.,,Tarzana,CA,www.lapl.org,91356,http://egis3.lacounty.gov/lms/?p=61424,34.166552,-118.530003
60781,www.lapl.org,Los Angeles Public Library - Northridge Branch,9051 Darby Ave.,,Northridge,CA,www.lapl.org,91325,http://egis3.lacounty.gov/lms/?p=61425,34.235166,-118.534015
60783,www.lapl.org,Los Angeles Public Library - Venice - Abbot Kinney Memorial Branch,501 S. Venice Blvd.,,Venice,CA,www.lapl.org,90291,http://egis3.lacounty.gov/lms/?p=61426,33.987375,-118.4653
60785,www.lapl.org,Los Angeles Public Library - Wilmington Branch,1300 N. Avalon Blvd.,,Wilmington,CA,www.lapl.org,90744,http://egis3.lacounty.gov/lms/?p=61427,33.789017,-118.262905
60787,www.lapl.org,Los Angeles Public Library - West Los Angeles Regional Branch,11360 Santa Monica Blvd.,,Los Angeles,CA,www.lapl.org,90025,http://egis3.lacounty.gov/lms/?p=61428,34.045746,-118.450452
60789,www.lapl.org,Los Angeles Public Library - Felipe De Neve Branch,2820 W. Sixth St.,,Los Angeles,CA,www.lapl.org,90057,http://egis3.lacounty.gov/lms/?p=61429,34.063299,-118.283687
60791,www.lapl.org,Los Angeles Public Library - Atwater Village Branch,3379 Glendale Blvd.,,Los Angeles,CA,www.lapl.org,90039,http://egis3.lacounty.gov/lms/?p=61430,34.11999,-118.259051
60793,www.lapl.org,Los Angeles Public Library - Porter Ranch Branch,11371 Tampa Ave.,,Porter Ranch,CA,www.lapl.org,91326,http://egis3.lacounty.gov/lms/?p=61431,34.277264,-118.559288
