OBJECTID,FID2,NUMBER,LATITUDE,LONGITUDE,SITEATS,CITY_SITE,FACING,AREA,ADVERTISER
828,4656,LA-4657,34.09064,-118.32272,EB  Santa Monica NS Gower-SW,L.A. Central,East,CD-13,MOM L.A.
829,4660,LA-4661,34.09102,-118.2843,WB Santa Monica NS Hoover-NE,L.A. South,South,CD-13,MOM L.A.
830,4690,LA-4691,34.07673,-118.25759,EB  Sunset  NS  Echo Park -SW,L.A. East,East,CD-13,MOM L.A.
831,4693,LA-4694,34.09817,-118.31959,WB  Sunset  NS  Gordon -NE,L.A. Central,South,CD-13,MOM L.A.
832,4696,LA-4697,34.09816,-118.32216,WB  Sunset  NS  Gower -NE,L.A. Central,South,CD-13,MOM L.A.
833,4701,LA-4702,34.092,-118.27985,SB  Sunset  FS  Hyperion -NW,L.A. South,North,CD-13,MOM L.A.
834,4724,LA-4725,34.09826,-118.30958,WB  Sunset  FS  Western -NW,L.A. Central,North,CD-13,MOM L.A.
835,4759,LA-4760,34.08648,-118.29158,NB  Vermont  NS  Norman -SE,L.A. South,West,CD-13,MOM L.A.
836,4781,LA-4782,34.09457,-118.30915,NB  Western Ave NS  Fountain -SE,L.A. South,West,CD-13,MOM L.A.
837,4135,LA-4136,34.25734,-118.54911,WB  Devonshire  NS  Vanalden -NE,L.A. Valley West,South,CD-12,MOM L.A.
838,4136,LA-4137,34.25734,-118.54911,WB  Devonshire  NS  Vanalden -NE,L.A. Valley West,South,CD-12,MOM L.A.
839,4175,LA-4176,34.24991,-118.57941,EB  Lassen  FS  Mason -SE,L.A. Valley West,West,CD-12,Mark and Gina Leeper
840,4183,LA-4184,34.25009,-118.54518,WB  Lassen  FS  Wilbur -NW,L.A. Valley West,North,CD-12,MOM L.A.
841,4186,LA-4187,34.25024,-118.48529,NB  Lassen  FS  Woodley -NW,L.A. Valley West,North,CD-12,MOM L.A.
842,4195,LA-4196,34.26511,-118.51092,NB  Louise  FS  Chatsworth -NE,L.A. South,South,CD-12,MOM L.A.
843,4231,LA-4232,34.2357,-118.47658,WB  Nordhoff Wy  FS  Haskell -NW,L.A. Valley West,North,CD-12,MOM L.A.
844,4235,LA-4236,34.23565,-118.58397,WB  Nordhoff Wy  NS  Lurline -NE,L.A. Valley West,South,CD-12,MOM L.A.
845,4257,LA-4258,34.23578,-118.52029,EB  Nordhoff Wy  NS  White Oak -SW,L.A. Valley West,East,CD-12,Carl Torres
846,4260,LA-4261,34.23538,-118.54454,EB  Nordhoff Wy  FS  Wilbur -SE,L.A. Valley West,West,CD-12,MOM L.A.
847,4287,LA-4288,34.24282,-118.58395,WB  Plummer  NS  Lurline -NE,L.A. Valley West,South,CD-12,MOM L.A.
848,4329,LA-4330,34.27929,-118.48878,WB  Rinaldi  NS  Gothic -NE,L.A. South,South,CD-12,MOM L.A.
849,4334,LA-4335,34.2792,-118.47628,WB  Rinaldi  FS  Haskell -NW,L.A. South,North,CD-12,MOM L.A.
850,4406,LA-4407,34.25766,-118.55378,SB  Tampa  NS  Devonshire -NW,L.A. Valley West,North,CD-12,Scott Green
851,4479,LA-4480,34.26489,-118.48468,NB  Woodley  FS  Chatsworth -NE,L.A. South,South,CD-12,MOM L.A.
852,4498,LA-4499,34.23214,-118.48523,SB  Woodley  NS  Rayen -NW,L.A. Valley West,North,CD-12,Mike Galieote
853,4499,LA-4500,34.27882,-118.48481,SB  Woodley  FS  Rinaldi -SW,L.A. South,East,CD-12,MOM L.A.
854,4502,LA-4503,34.26121,-118.4817,NB  Woodley  FS  San Jose -NE,L.A. South,South,CD-12,MOM L.A.
855,4504,LA-4505,34.24638,-118.48485,NB  Woodley  NS  Superior -SE,L.A. Valley West,West,CD-12,MOM L.A.
856,4531,LA-4532,34.06915,-118.29119,WB  3rd St NS  Vermont -NE,L.A. South,South,CD-12,MOM L.A.
857,4559,LA-4560,34.07647,-118.29211,WB  Beverly Dr  FS  Vermont -NW,L.A. South,North,CD-12,MOM L.A.
858,4560,LA-4561,34.0755,-118.28709,WB  Beverly Dr  FS  Virgil -NW,L.A. South,North,CD-12,MOM L.A.
859,4597,LA-4598,34.12021,-118.2588,SB  Glendale Blvd NS  Revere/La Ciede -SW,L.A. East,East,CD-13,MOM L.A.
860,4601,LA-4602,34.10831,-118.26359,NB  Glendale Blvd NS  Waverly Dr -SE,L.A. East,West,CD-13,MOM L.A.
861,4610,LA-4611,34.10182,-118.30082,WB  Hollywood Bl  FS  Normandie -NW,L.A. Valley East,North,CD-13,MOM L.A.
862,4640,LA-4641,34.09109,-118.30057,SB  Normandie  NS  Santa Monica -NW,L.A. South,North,CD-13,MOM L.A.
863,4671,LA-4672,34.08053,-118.27544,NB  Silver Lake  NS  Marathon -SE,L.A. East,West,CD-13,MOM L.A.
864,4683,LA-4684,34.0979,-118.31813,EB  Sunset  NS  Bronson Ave-SW,L.A. Central,East,CD-13,MOM L.A.
865,4704,LA-4705,34.09823,-118.30361,WB  Sunset  FS  Kingsley -NW,L.A. Valley East,North,CD-13,MOM L.A.
866,4718,LA-4719,34.09274,-118.28087,EB  Sunset  NS  Santa Monica -SW,L.A. South,East,CD-13,MOM L.A.
867,4738,LA-4739,34.0711,-118.27089,EB  Temple  NS  Rosemont -SW,L.A. East,East,CD-13,MOM L.A.
868,4761,LA-4762,34.07866,-118.29156,NB  Vermont  NS  Rosewood -SE,L.A. South,West,CD-13,MOM L.A.
869,4768,LA-4769,34.09594,-118.32678,SB  Vine  FS  Delongpre -SW,L.A. Central,East,CD-13,MOM L.A.
870,4778,LA-4779,34.0979,-118.28726,NB  Virgil  NS  Sunset -SE,L.A. Valley East,West,CD-13,MOM L.A.
871,4779,LA-4780,34.09787,-118.2875,SB  Virgil  FS  Sunset -SW,L.A. South,East,CD-13,MOM L.A.
872,4785,LA-4786,34.09367,-118.30908,NB  Western Ave NS  La Mirada -SE,L.A. South,West,CD-13,MOM L.A.
873,4825,LA-4826,34.02157,-118.20483,WB  8th St   NS  Lorena -NE,L.A. East,South,CD-13,MOM L.A.
874,4842,LA-4843,34.02836,-118.24686,SB  Central  NS  8th St. -NW,L.A. East,North,CD-13,MOM L.A.
875,4849,LA-4850,34.05121,-118.21761,WB  Cesar Chavez  NS  Boyle -NE,L.A. East,South,CD-13,MOM L.A.
876,4855,LA-4856,34.04846,-118.21149,EB  Cesar Chavez  NS  St. Louis -SW,L.A. East,East,CD-13,MOM L.A.
877,4876,LA-4877,34.13998,-118.21877,WB  Colorado  NS  Ellenwood -NE,L.A. East,South,CD-14,MOM L.A.
878,4889,LA-4890,34.13812,-118.19223,EB  Colorado  NS  Wiota -SW,L.A. East,East,CD-14,MOM L.A.
879,4893,LA-4894,34.13705,-118.21478,SB  Eagle Rock  NS  Chickasawa -NW,L.A. East,North,CD-14,MOM L.A.
880,4908,LA-4909,34.03077,-118.20736,NB  Euclid  FS  Whittier -NE,L.A. East,South,CD-14,MOM L.A.
881,4921,LA-4922,34.04029,-118.19308,NB  Lorena  NS  Cesar Chavez -SE,L.A. Valley East,West,CD-14,MOM L.A.
