OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
19566,R1-1,R1,RESIDENTIAL,0.0106775825840484,2.37023872169082e-06
19567,R1-1,R1,RESIDENTIAL,0.0019832346694179,1.37924344862552e-07
19568,R1-1,R1,RESIDENTIAL,0.0024007641886792,2.88243795089574e-07
19569,R1-1,R1,RESIDENTIAL,0.0028139261754416,4.08796739296366e-07
19570,R1-1,R1,RESIDENTIAL,0.0030440976145713,5.21966202349285e-07
19571,R1-1,R1,RESIDENTIAL,0.006284447666534,1.69023130023387e-06
19572,R1-1,R1,RESIDENTIAL,0.0042913508400013,1.12935132612171e-06
19573,R1-1,R1,RESIDENTIAL,0.0040877818318897,8.08851886584751e-07
19574,R1-1,R1,RESIDENTIAL,0.0050693403487703,1.60416365783834e-06
19575,R1-1,R1,RESIDENTIAL,0.0043970104068576,1.15160584122209e-06
19576,R1-1,R1,RESIDENTIAL,0.0039045302741763,7.46244598341461e-07
19577,R1-1,R1,RESIDENTIAL,0.0054988251882318,1.86657278223111e-06
19578,R1-1,R1,RESIDENTIAL,0.004889242713255,1.40214934875412e-06
19579,R1-1,R1,RESIDENTIAL,0.0033663439912739,6.24206354569893e-07
19580,R1-1,R1,RESIDENTIAL,0.0056160975833898,1.79605778867495e-06
19581,R1-1,R1,RESIDENTIAL,0.0057899613082457,1.80841837340826e-06
19582,R1-1,R1,RESIDENTIAL,0.0052565957067223,1.6754967654594e-06
19583,R1-1,R1,RESIDENTIAL,0.0049885429262469,1.39850291528591e-06
19584,R1-1,R1,RESIDENTIAL,0.0053242520617143,1.59817947695885e-06
19585,R1-1,R1,RESIDENTIAL,0.0054074134900711,1.6137918634234e-06
19586,R1-1,R1,RESIDENTIAL,0.0053873164677873,1.59634544089801e-06
19587,R1-1,R1,RESIDENTIAL,0.0063565079137343,1.26749395083942e-06
19588,R1-1,R1,RESIDENTIAL,0.0036673000623142,5.49961889846519e-07
19589,R1-1,R1,RESIDENTIAL,0.0048021495398217,1.34465498831467e-06
19590,R1-1,R1,RESIDENTIAL,0.0048022884524941,1.34475403469552e-06
19591,R1-1,R1,RESIDENTIAL,0.0048020274419413,1.34454543086612e-06
19592,R1-1,R1,RESIDENTIAL,0.0047931711133228,1.32489208716717e-06
19593,R1-1,R1,RESIDENTIAL,0.0152417733356156,2.06206629898738e-06
19594,R1-1,R1,RESIDENTIAL,0.008143652538864,1.83634210476731e-06
19595,R1-1,R1,RESIDENTIAL,0.0038597765725109,7.67135699984221e-07
19596,R1-1,R1,RESIDENTIAL,0.0225270020805488,3.68295649700002e-06
19597,R1-1,R1,RESIDENTIAL,0.0053137578598428,1.33990217474532e-06
19598,R1-1,R1,RESIDENTIAL,0.0052860888724147,1.33665106014514e-06
19599,R1-1,R1,RESIDENTIAL,0.0033080669042099,5.47775867795657e-07
19600,R1-1,R1,RESIDENTIAL,0.0031162389130006,5.37681035418142e-07
19601,R1-1,R1,RESIDENTIAL,0.0051706358316434,7.18387152345682e-07
19602,R1-1,R1,RESIDENTIAL,0.0060037107583307,1.22741471713801e-06
19603,R1-1,R1,RESIDENTIAL,0.0129677280801803,2.95507159403338e-06
19604,R1-1,R1,RESIDENTIAL,0.0085697392613135,1.3457721865432e-06
19605,R1-1,R1,RESIDENTIAL,0.0105184707230947,1.86840243379668e-06
19606,R1-1,R1,RESIDENTIAL,0.0110473292597956,2.30721722187141e-06
19607,R1-1,R1,RESIDENTIAL,0.0018876283395994,2.09905325060799e-07
19608,R1-1,R1,RESIDENTIAL,0.0020468942943085,2.12532497104473e-07
19609,R1-1,R1,RESIDENTIAL,0.0028521798481679,2.65072634173799e-07
19610,R1-1,R1,RESIDENTIAL,0.0034764583768982,5.58887083059078e-07
19611,R1-1,R1,RESIDENTIAL,0.0016403454233996,1.38821580301844e-07
19612,R1-1,R1,RESIDENTIAL,0.0050160509262091,1.44263351425696e-06
19613,R1-1,R1,RESIDENTIAL,0.0049302388070335,1.31346323432094e-06
19614,R1-1,R1,RESIDENTIAL,0.0035578610127902,6.02657109625819e-07
19615,R1-1,R1,RESIDENTIAL,0.005106711394693,1.17569764211312e-06
19616,R1-1,R1,RESIDENTIAL,0.0036392445294253,6.46462133936737e-07
19617,R1-1,R1,RESIDENTIAL,0.007956970227994,1.40511345252619e-06
19618,R1-1,R1,RESIDENTIAL,0.0086889483273869,3.07895525871128e-06
19619,R1-1,R1,RESIDENTIAL,0.016348187251211,4.91495546065435e-06
19620,R1-1,R1,RESIDENTIAL,0.0074573535805248,1.17729025625642e-06
19621,R1-1,R1,RESIDENTIAL,0.0034941989630498,6.52996413680717e-07
19622,R1-1,R1,RESIDENTIAL,0.0034996757197317,6.64585510170644e-07
19623,R1-1,R1,RESIDENTIAL,0.0045300233039616,6.39816687287124e-07
19624,R1-1,R1,RESIDENTIAL,0.0040022854039268,8.17141067186845e-07
19625,R1-1,R1,RESIDENTIAL,0.0063788159998129,1.13727006086359e-06
19626,R1-1,R1,RESIDENTIAL,0.0026689077328042,3.95892239335217e-07
19627,R1-1,R1,RESIDENTIAL,0.0086818957119087,1.64240985482421e-06
19628,R1-1,R1,RESIDENTIAL,0.0102247115801563,3.20032164728242e-06
19629,R1-1,R1,RESIDENTIAL,0.0050798354583359,1.00387284007695e-06
19630,R1-1,R1,RESIDENTIAL,0.0072993262094975,1.41735104854219e-06
19631,R1-1,R1,RESIDENTIAL,0.0061976203771914,7.95384115486498e-07
19632,R1-1,R1,RESIDENTIAL,0.0075346496425515,1.11683747693198e-06
19633,R1-1,R1,RESIDENTIAL,0.0031436988351676,4.57087676561985e-07
19634,R1-1,R1,RESIDENTIAL,0.0073621352073768,1.26814751897998e-06
19635,R1-1,R1,RESIDENTIAL,0.0036579569405966,5.29420343882787e-07
19636,R1-1,R1,RESIDENTIAL,0.0046969853802911,7.32709802318819e-07
19637,R1-1,R1,RESIDENTIAL,0.0044826424216972,6.72100442341036e-07
19638,R1-1,R1,RESIDENTIAL,0.0026259025176107,3.57869323506398e-07
19639,R1-1,R1,RESIDENTIAL,0.0020792198873039,2.3745506016847e-07
19640,R1-1,R1,RESIDENTIAL,0.0045771940745312,8.70246189968042e-07
19641,R1-1,R1,RESIDENTIAL,0.0045817818477075,8.72044158077834e-07
19642,R1-1,R1,RESIDENTIAL,0.0036576880542487,5.29508829641859e-07
19643,R1-1,R1,RESIDENTIAL,0.0046685802409016,7.06280417171559e-07
19644,R1-1,R1,RESIDENTIAL,0.0042403410477002,6.27455526102455e-07
19645,R1-1,R1,RESIDENTIAL,0.0078605799157978,1.88967093182295e-06
19646,R1-1,R1,RESIDENTIAL,0.0080934874478205,2.21943263489971e-06
19647,R1-1,R1,RESIDENTIAL,0.0039014962788778,9.0666556064673e-07
