OBJECTID,Area_Acres,Park_ID,Address,Name,Park_Class,ACRES
112,0.56849143,720,843 S Bonnie Brae Street,Hope and Peace Park,N,0.56849143
113,3.66007985,345,7747 Foothill Blvd,Howard Finn Park,N,3.66007985
114,9.98868776,180,12560 Fllmore St.,Hubert H. Humphrey Memorial Park,N,9.98868776
115,2.36047264,340,2250 E 114th Street,Imperial Courts Recreation Center,N,2.36047264
116,0.31498485,663,2599 Beverwill Dr,Irving Schacter Park,N,0.31498485
117,1.59485426,769,7100 White Oak Ave,Jessie Owens Mini-Park,N,1.59485426
118,17.62510152,251,4000 S La Brea Ave.,Jim Gilliam Recreation Center,C,17.62510152
119,3.82380895,516,7008 Desoto Ave,John Quimby Park,N,3.82380895
120,3.16235324,339,9900 Grape St.,Jordan Downs Recreation Center,N,3.16235324
121,1.63824349,234,3135 Drew St,Juntos Park,N,1.63824349
122,3.46419492,558,11435 Kagel Canyon St,Kagel Canyon Park,N,3.46419492
123,0.09184962,348,6565 Greenbush Avenue,Kittridge Mini-Park,N,0.09184962
124,69.10878545,204,25000 Kittridge St,Knapp Ranch Park,R,69.10878545
125,2.50723435,297,4625 W Olympic Blvd,Los Angeles High Memorial Park,N,2.50723435
126,4.63701728,721,421 N Avenue 19,L.A. Youth Athletic Club,N,4.63701728
127,2.41636491,268,3160 Canyon Dr,Lake Hollywood Park,N,2.41636491
128,1.5181554,235,227 N Lake St,Lake Street Park,N,1.5181554
129,9.81225099,182,11075 Foothill Blvd,Lake View Terrace Recreation Center,N,9.81225099
130,19.19838054,511,21816 Lanark St,Lanark Recreation Center,C,19.19838054
131,0.08823167,872,E. 1st Street & Chicago Street,Lani Vest-Pocket Park,N,0.08823167
132,1.14470417,296,1820 N Las Palmas Ave,Las Palmas Senior Citizen Center,N,1.14470417
133,1.79521991,237,1901 Waterloo St,Tommy Lasorda's Field of Dreams,N,1.79521991
134,0.19285073,216,5308 Latham St,Latham Park,N,0.19285073
135,23.4447436,993,8260 Mulholland Dr,Laurel Canyon Park,C,23.4447436
136,1.01507326,376,4395 Leimert Blvd,Leimert Plaza,N,1.01507326
137,15.76194244,338,863 S. Herbert Avenue,Leland Park,C,15.76194244
138,3.87145743,239,4959 Lemon Grove Ave,Lemon Grove Recreation Center,N,3.87145743
139,0.17198669,240,5523 Lexington Ave,Lexington Avenue Pocket Park,N,0.17198669
140,24.51476829,160,5101 Libbit Ave,Libbit Park,C,24.51476829
141,2.83140556,724,1253 Lilac Ter.,Lilac Terrace Park,N,2.83140556
142,92.56578803,762,19585 Rinaldi St,Limekiln Canyon Park,R,92.56578803
143,2.87720446,725,2303 Workman Street,Lincoln Heights Recreation Center,N,2.87720446
144,42.81087247,205,3501 Valley Blvd,Lincoln Park,C,42.81087247
145,0.22882855,377,10420 S. Vermont Ave.,Little Green Acres Park,N,0.22882855
146,1.14379995,356,10110 Commerce Ave,Little Landers Park,N,1.14379995
147,2.41578742,378,2717 Halldale Avenue,Loren Miller Recreation Center,N,2.41578742
148,11.83101237,291,3207 Los Feliz Blvd,Los Feliz Golf Course,C,11.83101237
149,6.48060678,763,7140 Louise Ave,Louise Park,N,6.48060678
150,1.75015365,726,200 E Avenue 43,Charles F. Lummis Home,N,1.75015365
151,2.2300543,503,23936 Highlander Ave,Mae Boyar Recreation Center,N,2.2300543
152,4.81528091,144,4901 Marionwood Dr,Mar Vista Gardens Recreation Center,N,4.81528091
153,18.50628241,122,11430 Woodbine Ave,Mar Vista Recreation Center,C,18.50628241
154,0.28774922,804,15262 Marson St,Marson Park,N,0.28774922
155,13.51531786,311,1920 Cumbre Drive,Martin J. Bogdanovich Recreation Center,C,13.51531786
156,0.17134987,253,Intersection of Mascot Street & Pickford Street,Mascot Park,N,0.17134987
157,17.06931083,764,10500 Mason Ave,Mason Park,C,17.06931083
158,2.66282518,559,9540 Van Nuys Blvd.,Mid-Valley Senior Citizen Center (Site),N,2.66282518
