OBJECTID,Area_Acres,Park_ID,CD_Real,Address,Region,Name,Park_Class,CD_NEW,TOOLTIP,ACRES
63,10.99409494,147,11,6660 Esplanade Pl,W,Del Rey Lagoon,C,11,Name: Del Rey Lagoon\nLocation: 6660 Esplanade Pl,10.99409494
64,4.45374918,803,06,15100 Erwin St,V,Delano Park,N,6,Name: Delano Park\nLocation: 15100 Erwin St,4.45374918
65,2.8108007,372,08,1550 W 35th Place,P,Denker Recreation Center,N,8,Name: Denker Recreation Center\nLocation: 1550 W 35th Place,2.8108007
66,1.8226343,553,06,14215 Devonshire Ave,V,Devonshire Arleta Park,N,6,Name: Devonshire Arleta Park\nLocation: 14215 Devonshire Ave,1.8226343
67,4.83685715,554,07,10230 Woodman Ave,V,Devonwood Park,N,7,Name: Devonwood Park\nLocation: 10230 Woodman Ave,4.83685715
68,0.4904149,247,13,7020 Franklin Ave,M,Dorothy J. and Benjamin B. Smith Park,N,13,Name: Dorothy J. and Benjamin B. Smith Park\nLocation: 7020 Franklin Ave,0.4904149
69,4.52075053,172,01,1772 N Spring St,M,Downey Recreation Center,N,1,Name: Downey Recreation Center\nLocation: 1772 N Spring St,4.52075053
70,0.32258199,706,01,3160 E Minnesota Street,M,East Los Angeles Park,N,1,Name: East Los Angeles Park\nLocation: 3160 E Minnesota Street,0.32258199
71,0.12956924,306,15,"1300 ""O"" Street",P,East Wilmington Vest Pocket Park,N,15,"Name: East Wilmington Vest Pocket Park\nLocation: 1300 ""O"" Street",0.12956924
72,28.40685029,249,13,751 Echo Park Blvd.,M,Echo Park,C,13,Name: Echo Park\nLocation: 751 Echo Park Blvd.,28.40685029
73,6.30935269,759,12,11820 Reseda Blvd,V,Eddleston Park,N,12,Name: Eddleston Park\nLocation: 11820 Reseda Blvd,6.30935269
74,61.28545119,502,03,6801 Sunset Ridge Ct,V,El Escorpion Park,R,12,Name: El Escorpion Park\nLocation: 6801 Sunset Ridge Ct,61.28545119
75,1.29010268,278,04,3300 Cahuenga Blvd,V,El Paseo De Cahuenga Park,N,4,Name: El Paseo De Cahuenga Park\nLocation: 3300 Cahuenga Blvd,1.29010268
76,3.07719955,865,14,4410 Garden Homes Avenue,M,El Sereno North Park,N,14,Name: El Sereno North Park\nLocation: 4410 Garden Homes Avenue,3.07719955
77,13.93500943,173,14,4721 Klamath Street,M,El Sereno Recreation Center,C,14,Name: El Sereno Recreation Center\nLocation: 4721 Klamath Street,13.93500943
78,0.90914951,866,14,4818 Klamath Place,M,El Sereno Senior Citizen Center,N,14,Name: El Sereno Senior Citizen Center\nLocation: 4818 Klamath Place,0.90914951
79,1.99159156,230,13,1811 Ripple St,M,Elysian Valley Recreation Center,N,13,Name: Elysian Valley Recreation Center\nLocation: 1811 Ripple St,1.99159156
80,0.92633121,158,05,4935 Balboa Blvd,V,Encino Community Center,N,5,Name: Encino Community Center\nLocation: 4935 Balboa Blvd,0.92633121
81,5.26510503,157,05,16953 Ventura Blvd,V,Encino Park,N,5,Name: Encino Park\nLocation: 16953 Ventura Blvd,5.26510503
82,0.53271106,714,01,1010 Everett Street,M,Everett Park,N,1,Name: Everett Park\nLocation: 1010 Everett Street,0.53271106
83,6.6563445,867,14,2839 E 4th Street,M,Evergreen Recreation Center,N,14,Name: Evergreen Recreation Center\nLocation: 2839 E 4th Street,6.6563445
84,10.39269121,222,08,701 State Dr.,P,Exposition Park Rose Garden,C,9,Name: Exposition Park Rose Garden\nLocation: 701 State Dr.,10.39269121
85,0.37881526,655,05,7929 Melrose Ave,M,Fairfax Senior Citizen Center,N,5,Name: Fairfax Senior Citizen Center\nLocation: 7929 Melrose Ave,0.37881526
86,1.16124866,344,02,9521 Tujunga Canyon Blvd,V,Fehlhaber-Houk Park,N,7,Name: Fehlhaber-Houk Park\nLocation: 9521 Tujunga Canyon Blvd,1.16124866
87,4.32347172,119,11,11338 Santa Monica Blvd,W,Felicia Mahood Multipurpose Center,N,11,Name: Felicia Mahood Multipurpose Center\nLocation: 11338 Santa Monica Blvd,4.32347172
88,9.25842388,174,06,8851 Laurel Canyon Blvd,V,Fernangeles Recreation Center,N,6,Name: Fernangeles Recreation Center\nLocation: 8851 Laurel Canyon Blvd,9.25842388
89,2.90282516,220,09,4700 Honduras St,P,Fred Roberts Recreation Center,N,9,Name: Fred Roberts Recreation Center\nLocation: 4700 Honduras St,2.90282516
90,0.63827135,214,09,7630 Towne Ave,P,Fremont High School Pool,N,9,Name: Fremont High School Pool\nLocation: 7630 Towne Ave,0.63827135
91,0.75091686,250,10,2330 S Genesee Avenue,W,Genesee Avenue Park,N,10,Name: Genesee Avenue Park\nLocation: 2330 S Genesee Avenue,0.75091686
92,14.62057944,217,09,429 E 42nd Place,P,Gilbert W. Lindsay Community Center,C,9,Name: Gilbert W. Lindsay Community Center\nLocation: 429 E 42nd Place,14.62057944
93,12.6876408,231,13,3650 Verdugo Rd,M,Glassell Park,C,1,Name: Glassell Park\nLocation: 3650 Verdugo Rd,12.6876408
94,4.82043253,142,11,4601 Alla Rd,W,Glen Alla Park,N,11,Name: Glen Alla Park\nLocation: 4601 Alla Rd,4.82043253
95,0.29159272,232,13,2932 Glenhurst Ave,M,Glenhurst Park,N,13,Name: Glenhurst Park\nLocation: 2932 Glenhurst Ave,0.29159272
96,17.75559734,760,12,16730 Chatsworth St,V,Granada Hills Park,C,12,Name: Granada Hills Park\nLocation: 16730 Chatsworth St,17.75559734
97,0.11946406,330,15,10726 Grape St.,P,Grape Street Pocket Park,N,15,Name: Grape Street Pocket Park\nLocation: 10726 Grape St.,0.11946406
98,0.59602106,715,01,3711 N Figueroa Street,M,Greayer's Oak Park,N,1,Name: Greayer's Oak Park\nLocation: 3711 N Figueroa Street,0.59602106
99,7.63554657,176,09,431 E 89th St,P,Green Meadows Recreation Center,N,9,Name: Green Meadows Recreation Center\nLocation: 431 E 89th St,7.63554657
100,1.22525701,283,04,5105 N Zoo Dr,G,Griffith Park Dog Park,N,4,Name: Griffith Park Dog Park\nLocation: 5105 N Zoo Dr,1.22525701
101,11.06863222,177,15,24901 Frampton Ave.,P,Harbor City Park,C,15,Name: Harbor City Park\nLocation: 24901 Frampton Ave.,11.06863222
102,1.60273414,252,10,890 S Lucerne Avenue,M,Harold A. Henry Park,N,4,Name: Harold A. Henry Park\nLocation: 890 S Lucerne Avenue,1.60273414
103,0.06597303,347,02,6830 N Woodman Avenue,V,Hartland Mini-Park,N,2,Name: Hartland Mini-Park\nLocation: 6830 N Woodman Avenue,0.06597303
104,12.87524427,384,08,1535 W 62nd Street,P,Jackie Tatum/Harvard Recreation Center,C,8,Name: Jackie Tatum/Harvard Recreation Center\nLocation: 1535 W 62nd Street,12.87524427
105,24.99132843,868,14,2230 Norfolk Street,M,Hazard Park,C,14,Name: Hazard Park\nLocation: 2230 Norfolk Street,24.99132843
106,3.81234365,718,01,6152 N Figueroa Street,M,Highland Park Senior Citizen Center,N,14,Name: Highland Park Senior Citizen Center\nLocation: 6152 N Figueroa Street,3.81234365
107,0.48978951,298,04,HILLHURST AVE. BTWN. LOS FELIZ BLVD. & VERMONT AVE.,G,Hillhurst Parkway,N,4,Name: Hillhurst Parkway\nLocation: HILLHURST AVE. BTWN. LOS FELIZ BLVD. & VERMONT AVE.,0.48978951
108,18.30269337,869,14,415 S St Louis Street,M,Hollenbeck Park,C,14,Name: Hollenbeck Park\nLocation: 415 S St Louis Street,18.30269337
109,8.51874321,179,05,601 Club View Dr,W,Holmby Park,N,5,Name: Holmby Park\nLocation: 601 Club View Dr,8.51874321
110,0.20978881,215,09,817 W Gage Ave,P,Hoover-Gage Park,N,9,Name: Hoover-Gage Park\nLocation: 817 W Gage Ave,0.20978881
111,2.47854181,719,01,1010 W 25th Street,M,Hoover Recreation Center,N,1,Name: Hoover Recreation Center\nLocation: 1010 W 25th Street,2.47854181
112,0.56849143,720,01,843 S Bonnie Brae Street,M,Hope and Peace Park,N,1,Name: Hope and Peace Park\nLocation: 843 S Bonnie Brae Street,0.56849143
113,3.66007985,345,02,7747 Foothill Blvd,V,Howard Finn Park,N,7,Name: Howard Finn Park\nLocation: 7747 Foothill Blvd,3.66007985
114,9.98868776,180,07,12560 Fllmore St.,V,Hubert H. Humphrey Memorial Park,N,7,Name: Hubert H. Humphrey Memorial Park\nLocation: 12560 Fllmore St.,9.98868776
115,2.36047264,340,15,2250 E 114th Street,P,Imperial Courts Recreation Center,N,15,Name: Imperial Courts Recreation Center\nLocation: 2250 E 114th Street,2.36047264
116,0.31498485,663,05,2599 Beverwill Dr,W,Irving Schacter Park,N,5,Name: Irving Schacter Park\nLocation: 2599 Beverwill Dr,0.31498485
117,1.59485426,769,12,7100 White Oak Ave,V,Jessie Owens Mini-Park,N,6,Name: Jessie Owens Mini-Park\nLocation: 7100 White Oak Ave,1.59485426
118,17.62510152,251,10,4000 S La Brea Ave.,W,Jim Gilliam Recreation Center,C,10,Name: Jim Gilliam Recreation Center\nLocation: 4000 S La Brea Ave.,17.62510152
119,3.82380895,516,03,7008 Desoto Ave,V,John Quimby Park,N,3,Name: John Quimby Park\nLocation: 7008 Desoto Ave,3.82380895
