id,Geographic Area Name,County,City,City Clean,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Dial-up with no other type of Internet subscription,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Cellular data plan!!Cellular data plan with no other type of Internet subscription,"Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL","Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Broadband such as cable, fiber optic or DSL",Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription:!!Broadband of any type!!Satellite Internet service,Estimate!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Margin of Error!!Total!!Total households!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Notes
7950000US0603758,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California",Los Angeles County (South Central),"Gardena, Lawndale Cities & West Athens PUMA; California","Gardena, Lawndale Cities & West Athens ",45280,2465,0,216,45280,2465,42736,2329,8168,1493,36282,2227,3581,864,6686,1324,
7950000US0603759,"Los Angeles County (South Central)--Hawthorne City PUMA, California",Los Angeles County (South Central),"Hawthorne City PUMA, California",Hawthorne City ,32117,2055,0,216,32117,2055,31367,2079,7248,1445,24322,2163,2509,771,3408,1056,
7950000US0603760,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California",Los Angeles County,"Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California","Redondo Beach, Manhattan Beach & Hermosa Beach Cities ",52897,2590,0,216,52897,2590,50516,2738,2216,713,50120,2539,3031,827,2286,985,
7950000US0603761,"Los Angeles County (South Central)--Torrance City PUMA, California",Los Angeles County (South Central),"Torrance City PUMA, California",Torrance City ,43967,2318,0,216,43967,2318,40746,2309,3491,840,39539,2232,3297,767,2257,781,
7950000US0603762,"Los Angeles County (South Central)--Carson City PUMA, California",Los Angeles County (South Central),"Carson City PUMA, California",Carson City ,30652,2009,0,216,30652,2009,29485,1922,3125,967,26662,2001,3089,872,2116,650,
7950000US0603763,"Los Angeles County (South Central)--Long Beach City (North) PUMA, California",Los Angeles County (South Central),"Long Beach City (North) PUMA, California",Long Beach City (North) ,37797,2387,0,216,37797,2387,34222,2468,4953,1223,32177,2268,6220,1304,6414,1563,
7950000US0603764,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California",Los Angeles County (South),"Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California","Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities ",43321,1647,130,124,43191,1655,38825,1807,2806,559,39094,1809,5223,1194,4720,1247,
7950000US0603765,"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California",Los Angeles County (Southeast),"Long Beach City (East) PUMA, California",Long Beach City (East) ,52449,2790,0,216,52449,2790,49495,2766,3987,1078,47598,2748,2550,659,2807,928,
7950000US0603766,"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California",Los Angeles County (South),"Long Beach City (Southwest & Port) PUMA, California",Long Beach City (Southwest & Port) ,29194,2405,27,45,29167,2408,27672,2323,5183,1148,23155,2510,1134,450,6224,1593,
7950000US0603767,"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California",Los Angeles County (South),"LA City (South/San Pedro) PUMA, California",South/San Pedro,58982,3083,258,267,58724,3051,56082,3037,12199,1923,43496,2715,5247,1191,5174,1295,
7950000US0603768,"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California",Los Angeles County (Southwest),"Palos Verdes Peninsula PUMA, California",Palos Verdes Peninsula ,41304,2499,77,126,41227,2456,39007,2416,4116,1070,35461,2563,3249,921,3166,1123,
7950000US0603769,"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California",Los Angeles County (Southeast),"Long Beach (Central) & Signal Hill Cities PUMA, California",Long Beach (Central) & Signal Hill Cities ,32005,2445,76,126,31929,2456,30998,2443,5387,1249,25771,2337,1113,456,4444,1388,
,,,,,,,,,,,,,,,,,,,,,
